Alloy ID,Alloy,"Temperature, [C]","Yield Stress, [MPa]","Ultimate Tensile Stress, [MPa]",Tensile elongation [%],Reduction area [%],Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Y
108,CPJ-13,250,800,919,15.4,54,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
109,CPJ-13,300,772.21,889.42,15,56,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
110,CPJ-13,300,776.59,888.5,15.7,54.6,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
111,CPJ-13,350,763,870,14.7,53,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
112,CPJ-13,400,736.9,841.3,16.3,49.3,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
113,CPJ-13,400,730.84,841.16,16,58,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
114,CPJ-13,450,710,801,18.6,59,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
115,CPJ-13,500,648.11,737.74,20,69,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
116,CPJ-13,500,651.39,731.8,23.6,63.2,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
117,CPJ-13,550,572.27,658.45,24,74,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
118,CPJ-13,600,455,552,40,78,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
119,CPJ-13,600,486.69,559.7,,,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
120,CPJ-13,650,387,462,37,82,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
121,CPJ-14,23.9,883,1062,20,55,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
122,CPJ-14,100,864,1019,16.55,54,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
123,CPJ-14,150,840,985,18.3,55,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
124,CPJ-14,200,820.48,965.27,15,54,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
125,CPJ-14,250,817,942,15.71,55,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
126,CPJ-14,300,792.9,917,13,49,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
127,CPJ-14,350,785,898,15.27,51,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
128,CPJ-14,400,751.53,861.85,15,58,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
129,CPJ-14,450,725,827,16.35,50,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
130,CPJ-14,500,665.34,758.42,19,65,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
131,CPJ-14,550,579.16,675.69,23,72,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
132,CPJ-14,600,478,564,36,77,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
133,CPJ-14,650,389,473,38,80,78.611,0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,
134,CPJ-15,23.9,832,983,21,63,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
135,CPJ-15,200,758.42,875.63,18,66,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
136,CPJ-15,300,723.95,827.37,16,65,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
137,CPJ-15,400,696.37,799.79,17,66,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
138,CPJ-15,500,627.42,710.16,21,71,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
139,CPJ-15,550,565.37,641.21,23,76,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
140,CPJ-15,600,462,535,27,77,86.877,0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,
